Time,RTT
11.6977,0.0309424
11.6989,0.0309496
11.6989,0.0309559
11.7,0.0308364
11.7,0.0307318
11.7011,0.0307654
11.7011,0.0307947
11.7024,0.0308203
11.7024,0.0308428
11.7035,0.0308625
11.7035,0.0308796
11.7046,0.0308947
11.7046,0.0309079
11.7057,0.0309194
11.7057,0.0309295
11.7069,0.0309383
11.7069,0.030946
11.708,0.0308277
11.708,0.0307243
11.7091,0.0307587
11.7091,0.0307889
11.7104,0.0308153
11.7104,0.0308384
11.7115,0.0308586
11.7115,0.0308763
11.7126,0.0308917
11.7126,0.0309053
11.7137,0.0309171
11.7137,0.0309275
11.715,0.0309365
11.715,0.0309445
11.716,0.0308264
11.716,0.0307231
11.7172,0.0307577
11.7172,0.030788
11.7184,0.0308145
11.7184,0.0308377
11.7195,0.030858
11.7195,0.0308757
11.7206,0.0308913
11.7206,0.0309049
11.7217,0.0309167
11.7217,0.0309272
11.7229,0.0309363
11.7229,0.0309442
11.724,0.0308262
11.724,0.0307229
11.7252,0.0307576
11.7252,0.0307879
11.7264,0.0308144
11.7264,0.0308376
11.7275,0.0308579
11.7275,0.0308756
11.7286,0.0308912
11.7286,0.0309048
11.7297,0.0309167
11.7297,0.0309271
11.7309,0.0309362
11.7309,0.0309442
11.7321,0.0309512
11.7321,0.0309573
11.7332,0.0309626
11.7332,0.0309673
11.7344,0.0309714
11.7344,0.030975
11.7356,0.0309781
11.7356,0.0309808
11.7366,0.0309832
11.7366,0.0309853
11.7377,0.0309871
11.7377,0.0309888
11.7389,0.0309902
11.7389,0.0309914
11.7401,0.0309925
11.7401,0.0309934
11.7412,0.0309942
11.7412,0.030995
11.7424,0.0309956
11.7424,0.0309961
11.7435,0.0309966
11.7435,0.030997
11.7446,0.0309974
11.7446,0.0309977
11.7457,0.030998
11.7457,0.0309983
11.747,0.0309985
11.747,0.0309987
11.7481,0.0309988
11.7481,0.030999
11.7492,0.0309991
11.7492,0.0309992
11.7504,0.0309993
11.7504,0.0309994
11.7515,0.0309995
11.7515,0.0309995
11.7526,0.0309996
11.7526,0.0309996
11.7537,0.0309997
11.7537,0.0309997
11.755,0.0309998
11.755,0.0309998
11.7561,0.0309998
11.7561,0.0309998
11.7572,0.0309999
11.7572,0.0309999
11.7584,0.0309999
11.7584,0.0309999
11.7595,0.0309999
11.7595,0.0309999
11.7606,0.0309999
11.7606,0.0309999
11.7619,0.0309999
11.7619,0.031
11.763,0.030875
11.763,0.0307656
11.7641,0.0307949
11.7641,0.0308205
11.7652,0.030968
11.7652,0.030972
11.7664,0.0311005
11.7664,0.0310879
11.7675,0.0312019
11.7675,0.0311767
11.7687,0.0312796
11.7687,0.0312446
11.7699,0.0313391
11.7699,0.0312967
11.771,0.0313846
11.771,0.0312115
11.7721,0.0313101
11.7721,0.0312713
11.7732,0.0313624
11.7732,0.0313171
11.7744,0.0314025
11.7744,0.0313522
11.7756,0.0314331
11.7756,0.031379
11.7767,0.0314566
11.7767,0.0313995
11.7779,0.0314746
11.7779,0.0314153
11.779,0.0314884
11.779,0.0313023
11.7801,0.0313895
11.7801,0.0313408
11.7812,0.0314232
11.7812,0.0313703
11.7824,0.031449
11.7824,0.0313929
11.7836,0.0314688
11.7836,0.0314102
11.7847,0.0314839
11.7847,0.0314234
11.7859,0.0314955
11.7859,0.0314336
11.7876,0.0316294
11.7876,0.0315507
11.7881,0.0316069
11.7881,0.031531
11.7892,0.0315896
11.7892,0.0315159
11.7904,0.0315764
11.7904,0.0315044
11.7916,0.0315663
11.7916,0.0314955
11.7927,0.0315586
11.7927,0.0314888
11.7939,0.0315527
11.7939,0.0314836
11.795,0.0315481
11.795,0.0313546
11.7961,0.0314353
11.7961,0.0313809
11.7972,0.0314583
11.7972,0.031401
11.7985,0.0314759
11.7985,0.0314164
11.7996,0.0314893
11.7996,0.0314282
11.8007,0.0314996
11.8007,0.0314372
11.8019,0.0315075
11.8019,0.0314441
11.803,0.0315136
11.803,0.0313244
11.8041,0.0314088
11.8041,0.0313577
11.8052,0.031438
11.8052,0.0313833
11.8065,0.0314604
11.8065,0.0314028
11.8076,0.0314775
11.8076,0.0314178
11.8087,0.0314906
11.8087,0.0314292
11.8099,0.0315006
11.8099,0.031438
11.811,0.0315083
11.811,0.0313197
11.8121,0.0314048
11.8121,0.0313542
11.8134,0.0314349
11.8134,0.0313805
11.8145,0.031458
11.8145,0.0314007
11.8156,0.0314756
11.8156,0.0314162
11.8167,0.0314892
11.8167,0.031428
11.8179,0.0314995
11.8179,0.0313121
11.819,0.0312731
11.819,0.0311139
11.8201,0.0312247
11.8201,0.0311966
11.8214,0.031297
11.8214,0.0312599
11.8225,0.0313524
11.8225,0.0313084
11.8236,0.0313948
11.8236,0.0313455
11.8247,0.0314273
11.8247,0.0313739
11.8259,0.0314521
11.8259,0.0313956
11.827,0.0314712
11.827,0.0312873
11.8282,0.0313764
11.8282,0.0313293
11.8294,0.0314131
11.8294,0.0313615
11.8305,0.0314413
11.8305,0.0313862
11.8316,0.0314629
11.8316,0.031405
11.8327,0.0314794
11.8327,0.0314195
11.8339,0.031492
11.8339,0.0314305
11.8351,0.0316267
11.8351,0.0315484
11.8362,0.0316048
11.8362,0.0315292
11.8374,0.0315881
11.8374,0.0315146
11.8385,0.0315752
11.8385,0.0315033
11.8396,0.0315654
11.8396,0.0314947
11.8407,0.0315579
11.8407,0.0314882
11.8419,0.0315521
11.8419,0.0314831
11.8431,0.0316727
11.8431,0.0315886
11.8442,0.0316401
11.8442,0.03156
11.8454,0.031615
11.8454,0.0315382
11.8465,0.0315959
11.8465,0.0315214
