Time,Cwnd
16.4187,130320
16.4196,131768
16.5284,133216
16.5776,134664
16.6267,136112
16.6771,137560
16.7286,139008
16.7801,140456
16.8316,141904
16.8842,143352
16.9369,144800
16.9907,146248
17.0445,147696
17.0994,149144
17.1544,150592
17.2104,152040
17.2665,153488
17.3226,154936
17.3797,156384
17.4381,157832
17.4965,159280
17.555,160728
17.6144,162176
17.675,163624
17.7345,165072
17.7964,166520
17.857,167968
17.9194,169416
17.9822,170864
18.0452,172312
18.1094,173760
18.1734,175208
18.2386,176656
18.3039,178104
18.3691,179552
18.4356,181000
18.503,182448
18.5705,183896
18.638,185344
18.703,184494
18.703,185092
18.703,185689
18.7039,186287
18.7039,186884
18.7039,187482
18.7047,188080
18.7047,188677
18.7048,189275
18.7056,189872
18.7056,190470
18.7056,188240
18.7064,186792
18.7064,185344
18.7064,183896
18.7072,182448
18.7072,181000
18.7073,179552
18.7081,178104
18.7081,176656
18.7081,175208
18.709,173760
18.709,174100
18.709,172312
18.7099,170864
18.7099,169416
18.7099,167968
18.7107,166520
18.7107,165072
18.7108,163624
18.7115,162176
18.7115,160728
18.7115,159280
18.7124,157832
18.7124,156384
18.7124,154936
18.7132,153488
18.7132,152040
18.7133,150592
18.7147,149144
18.7147,147696
18.7148,146248
18.715,144800
18.715,143352
18.715,141904
18.7155,140763
18.7155,139008
18.7159,137560
18.7164,136112
18.7164,134664
18.7167,133216
18.7172,131768
18.7172,130320
18.7176,128872
18.7387,130320
18.7765,131768
18.8177,133216
18.8589,134664
18.9001,136112
18.9436,137560
18.9871,139008
19.0305,140456
19.0764,141904
19.1232,143352
19.1701,144800
19.2182,146248
19.2686,147696
19.319,149144
19.3716,150592
19.4254,152040
19.4802,153488
19.5375,154936
19.5959,156384
19.6554,157832
19.7184,159280
19.7835,160728
19.8499,162176
19.9197,163624
19.993,165072
20.0685,166520
20.1486,167968
20.2321,169416
20.3214,170864
20.3946,172312
20.4587,173760
20.5229,175208
20.588,176656
20.6532,178104
20.7185,179552
20.785,181000
20.8524,182448
20.9199,183896
20.9875,185344
20.9883,184494
20.9891,185092
20.9891,185689
20.9891,186287
20.9906,186884
20.9906,187482
20.9906,188080
20.9909,188677
20.9909,189275
20.9909,189872
20.9914,190470
20.9914,188240
20.9917,186792
20.9922,185344
20.9922,183896
20.9926,182448
20.9931,181000
20.9931,179552
20.9935,178104
20.994,176656
20.994,175208
20.9944,173760
20.995,174100
20.995,172312
20.9951,170864
20.9957,169416
20.9957,167968
20.996,166520
20.9966,165072
20.9966,163624
20.9969,162176
20.9975,160728
20.9975,159280
20.9977,157832
20.9984,156384
20.9984,154936
20.9986,153488
20.9991,152040
20.9991,150592
20.9995,149144
21,147696
21,146248
21.0004,144800
21.0015,143352
21.0015,141904
21.0015,140763
21.0017,139008
21.0017,137560
21.002,136112
21.0022,134664
21.0026,133216
21.0029,131768
21.0031,130320
21.0035,128872
21.0246,130320
21.0252,131768
21.103,133216
21.1442,134664
21.186,136112
21.3039,137560
21.3039,139008
21.3174,140456
21.3617,141904
21.4084,143352
21.4555,144800
21.504,146248
21.5546,147696
21.6047,149144
21.6574,150592
21.7105,152040
21.7659,153488
21.8225,154936
21.8816,156384
21.9422,157832
22.0044,159280
22.0686,160728
22.1369,162176
22.2055,163624
22.279,165072
22.355,166520
22.5056,167968
22.5196,169416
22.6859,170864
22.7022,172312
22.8022,173760
22.911,175208
23.03,176656
23.1592,178104
23.2566,179552
23.323,181000
23.3905,182448
23.458,183896
23.5256,185344
23.5941,186792
23.6316,185949
23.6316,186553
23.6316,187157
23.6325,187762
23.6325,188366
23.6325,188970
23.6334,189574
23.6334,190179
23.6334,190783
23.6342,191387
23.6342,191992
23.6343,189688
23.6351,188240
23.6351,186792
23.6351,185344
23.636,183896
23.636,182448
23.636,181000
23.6367,179552
23.6367,178104
23.6368,176656
23.6376,175283
23.6376,173760
23.6376,172312
23.6385,170864
23.6385,169416
23.6385,167968
23.6394,166520
23.6394,165072
23.6394,163624
23.6402,162176
23.6402,160728
23.6403,159280
23.6411,159179
23.6411,156384
23.6411,154936
23.642,153488
23.642,152040
23.642,150592
23.6429,149144
23.6429,147696
23.6429,146248
23.6436,144800
23.6436,143352
23.6436,142471
23.6445,140456
23.6445,139008
23.6445,137560
23.6454,136112
23.6454,134664
23.6454,133216
23.6462,131768
23.6462,130320
23.6678,131768
23.7056,133216
23.7466,134664
23.7872,136112
23.829,137560
23.872,139008
23.9156,140456
23.9601,141904
24.0059,143352
24.0516,144800
24.0997,146248
24.1477,147696
24.197,149144
24.2485,150592
24.3,152040
24.3537,153488
24.4087,154936
24.4659,156384
24.5242,157832
24.585,159280
24.6479,160728
24.712,162176
24.7795,163624
24.8492,165072
24.9214,166520
24.998,167968
25.0781,169416
25.1617,170864
