Time,RTT
6.06161,0.0319999
6.06273,0.0319999
6.06274,0.032
6.06385,0.032
6.06386,0.032
6.06498,0.032
6.06499,0.032
6.0661,0.032
6.06611,0.032
6.06723,0.032
6.06724,0.032
6.06848,0.032
6.06849,0.032
6.0696,0.032
6.06961,0.032
6.07073,0.032
6.07074,0.032
6.07185,0.032
6.07186,0.032
6.07298,0.032
6.1051,0.032125
6.10511,0.0322344
6.10623,0.0322051
6.10624,0.0321794
6.10735,0.032157
6.10736,0.0321374
6.10848,0.0321202
6.10849,0.0321052
6.1096,0.032092
6.10961,0.0320805
6.11073,0.0320705
6.11074,0.0320617
6.11198,0.0320539
6.11199,0.0320472
6.1131,0.0321663
6.11311,0.0322705
6.11423,0.0322367
6.11424,0.0322071
6.11535,0.0321812
6.11536,0.0321586
6.11648,0.0321387
6.11649,0.0321214
6.1176,0.0321062
6.11761,0.0320929
6.11873,0.0320813
6.11874,0.0320712
6.11998,0.0320623
6.11999,0.0320545
6.1211,0.0321727
6.12111,0.0322761
6.12223,0.0322416
6.12224,0.0322114
6.12335,0.032185
6.12336,0.0321618
6.12448,0.0321416
6.12449,0.0321239
6.1256,0.0321084
6.12561,0.0320949
6.12685,0.032083
6.12686,0.0320726
6.12798,0.0320636
6.12799,0.0320556
6.1291,0.0321737
6.12911,0.0322769
6.13023,0.0322423
6.13024,0.032212
6.13135,0.0321855
6.13136,0.0321623
6.13248,0.032142
6.13249,0.0321243
6.1336,0.0321088
6.13361,0.0320952
6.13498,0.0320833
6.13499,0.0320729
6.13598,0.0320637
6.13599,0.0320558
6.1371,0.0320488
6.13711,0.0320427
6.13823,0.0320374
6.13824,0.0320327
6.13935,0.0320286
6.13936,0.032025
6.14048,0.0320219
6.14049,0.0320192
6.14173,0.0320168
6.14174,0.0320147
6.14285,0.0320128
6.14286,0.0320112
6.14398,0.0321348
6.14399,0.032118
6.1451,0.0323532
6.14511,0.0323091
6.14623,0.0323954
6.14624,0.032346
6.14735,0.0324278
6.14736,0.0323743
6.14848,0.0324525
6.14849,0.0323959
6.14973,0.0324714
6.14974,0.0324125
6.15085,0.0324859
6.15086,0.0324252
6.15198,0.0324971
6.15199,0.0324349
6.1531,0.0326306
6.15311,0.0325517
6.15423,0.0326078
6.15424,0.0325318
6.15535,0.0325903
6.15536,0.0325165
6.1566,0.032577
6.15661,0.0325048
6.15773,0.0325667
6.15774,0.0324959
6.15885,0.0325589
6.15886,0.032489
6.15998,0.0325529
6.15999,0.0324838
6.1611,0.0326733
6.16111,0.0325892
6.16223,0.0326405
6.16224,0.0325604
6.16335,0.0326154
6.16336,0.0325385
6.1646,0.0325962
6.16461,0.0325216
6.16573,0.0325814
6.16574,0.0325088
6.16685,0.0325702
6.16686,0.0324989
6.16798,0.0325615
6.16799,0.0324913
6.1691,0.0326799
6.16911,0.0325949
6.17023,0.0326456
6.17024,0.0325649
6.17148,0.0326193
6.17149,0.0325418
6.1726,0.0325991
6.17261,0.0325242
6.17373,0.0325837
6.17374,0.0325107
6.17498,0.0325719
6.17499,0.0325004
6.17598,0.0325629
6.17599,0.0324925
6.1771,0.0326809
6.17711,0.0325958
6.17835,0.0326463
6.17836,0.0325655
6.17948,0.0326199
6.17949,0.0325424
6.1806,0.0325996
6.18061,0.0325246
