% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
9.13987	1	0	0	1	914	0	1	1	4	14	1	0	28	1997
9.14012	1	0	0	1	914	0	3	1	4	13	1	0	28	1997
9.14038	1	0	0	1	914	0	5	1	4	15	1	0	28	1997
9.14075	1	0	0	1	914	1	0	1	4	14	1	0	28	1997
9.141	1	0	0	1	914	1	2	1	4	15	1	0	28	1997
9.14125	1	0	0	1	914	1	4	1	4	13	1	0	28	1997
9.14162	1	0	0	1	914	1	7	1	4	15	1	0	28	1997
9.14188	1	0	0	1	914	2	1	1	4	14	1	0	28	1997
9.14213	1	0	0	1	914	2	3	1	4	13	1	0	28	1997
9.14237	1	0	0	1	914	2	5	1	4	15	1	0	28	1997
9.14275	1	0	0	1	914	3	0	1	4	14	1	0	28	1997
9.143	1	0	0	1	914	3	2	1	4	15	1	0	28	1997
9.14325	1	0	0	1	914	3	4	1	4	13	1	0	28	1997
9.14363	1	0	0	1	914	3	7	1	4	15	1	0	28	1997
9.14387	1	0	0	1	914	4	1	1	4	14	1	0	28	1997
9.14413	1	0	0	1	914	4	3	1	4	13	1	0	28	1997
9.14438	1	0	0	1	914	4	5	1	4	15	1	0	28	1997
9.14475	1	0	0	1	914	5	0	1	4	14	1	0	28	1997
9.145	1	0	0	1	914	5	2	1	4	15	1	0	28	1997
9.14525	1	0	0	1	914	5	4	1	4	13	1	0	28	1997
9.14563	1	0	0	1	914	5	7	1	4	15	1	0	28	1997
9.14588	1	0	0	1	914	6	1	1	4	14	1	0	28	1997
9.14612	1	0	0	1	914	6	3	1	4	13	1	0	28	1997
9.14638	1	0	0	1	914	6	5	1	4	15	1	0	28	1997
9.14675	1	0	0	1	914	7	0	1	4	14	1	0	28	1997
9.147	1	0	0	1	914	7	2	1	4	15	1	0	28	1997
9.14725	1	0	0	1	914	7	4	1	4	13	1	0	28	1997
9.14762	1	0	0	1	914	7	7	1	4	15	1	0	28	1997
9.14788	1	0	0	1	914	8	1	1	4	14	1	0	28	1997
9.14813	1	0	0	1	914	8	3	1	4	13	1	0	28	1997
9.14837	1	0	0	1	914	8	5	1	4	15	1	0	28	1997
9.14875	1	0	0	1	914	9	0	1	4	14	1	0	28	1997
9.149	1	0	0	1	914	9	2	1	4	15	1	0	28	1997
9.14925	1	0	0	1	914	9	4	1	4	13	1	0	28	1997
9.14963	1	0	0	1	914	9	7	1	4	15	1	0	28	1997
9.14987	1	0	0	1	915	0	1	1	4	14	1	0	28	1997
9.15012	1	0	0	1	915	0	3	1	4	13	1	0	28	1997
9.1505	1	0	0	1	915	0	6	1	4	15	1	0	28	1997
9.15075	1	0	0	1	915	1	0	1	4	14	1	0	28	1997
9.151	1	0	0	1	915	1	2	1	4	13	1	0	28	1997
9.15125	1	0	0	1	915	1	4	1	4	15	1	0	28	1997
9.15162	1	0	0	1	915	1	7	1	4	14	1	0	28	1997
9.15188	1	0	0	1	915	2	1	1	4	15	1	0	28	1997
9.15212	1	0	0	1	915	2	3	1	4	13	1	0	28	1997
9.1525	1	0	0	1	915	2	6	1	4	15	1	0	28	1997
9.15275	1	0	0	1	915	3	0	1	4	14	1	0	28	1997
9.153	1	0	0	1	915	3	2	1	4	13	1	0	28	1997
9.15325	1	0	0	1	915	3	4	1	4	15	1	0	28	1997
9.15362	1	0	0	1	915	3	7	1	4	14	1	0	28	1997
9.15387	1	0	0	1	915	4	1	1	4	15	1	0	28	1997
9.15413	1	0	0	1	915	4	3	1	4	13	1	0	28	1997
9.1545	1	0	0	1	915	4	6	1	4	15	1	0	28	1997
9.15475	1	0	0	1	915	5	0	1	4	14	1	0	28	1997
9.155	1	0	0	1	915	5	2	1	4	13	1	0	28	1997
9.15525	1	0	0	1	915	5	4	1	4	15	1	0	28	1997
9.15563	1	0	0	1	915	5	7	1	4	14	1	0	28	1997
9.15587	1	0	0	1	915	6	1	1	4	15	1	0	28	1997
9.15612	1	0	0	1	915	6	3	1	4	13	1	0	28	1997
9.1565	1	0	0	1	915	6	6	1	4	15	1	0	28	1997
9.15675	1	0	0	1	915	7	0	1	4	14	1	0	28	1997
9.157	1	0	0	1	915	7	2	1	4	13	1	0	28	1997
9.15725	1	0	0	1	915	7	4	1	4	15	1	0	28	1997
9.15762	1	0	0	1	915	7	7	1	4	14	1	0	28	1997
