Time	CellId	RNTI	BWPId	SINR(dB)
22.3676	1	1	0	8.18379
22.3677	1	1	0	8.17468
22.3678	1	1	0	8.19595
22.3681	1	1	0	8.27365
22.3683	1	1	0	8.25383
22.3684	1	1	0	8.28161
22.3687	1	1	0	8.3013
22.3689	1	1	0	8.272
22.369	1	1	0	8.26644
22.3692	1	1	0	8.27121
22.3693	1	1	0	8.25389
22.3695	1	1	0	8.25154
22.3697	1	1	0	8.25814
22.3698	1	1	0	8.2432
22.3699	1	1	0	8.23722
22.3701	1	1	0	8.26325
22.3703	1	1	0	8.29786
22.3704	1	1	0	8.31017
22.3707	1	1	0	8.30311
22.3708	1	1	0	8.30153
22.371	1	1	0	8.30017
22.3712	1	1	0	8.31259
22.3713	1	1	0	8.29001
22.3716	1	1	0	8.24151
22.3718	1	1	0	8.22249
22.3721	1	1	0	8.21212
22.3722	1	1	0	8.22624
22.3723	1	1	0	8.21958
22.3727	1	1	0	8.23885
22.3728	1	1	0	8.25643
22.3729	1	1	0	8.22621
22.373	1	1	0	8.23701
22.3732	1	1	0	8.2926
22.3736	1	1	0	8.36022
22.3737	1	1	0	8.39162
22.3738	1	1	0	8.36346
22.3741	1	1	0	8.35195
22.3742	1	1	0	8.38857
22.3743	1	1	0	8.38816
22.3747	1	1	0	8.43569
22.3748	1	1	0	8.41017
22.375	1	1	0	8.42164
22.3753	1	1	0	8.4346
22.3754	1	1	0	8.42722
22.3756	1	1	0	8.45369
22.3758	1	1	0	8.47131
22.3759	1	1	0	8.49726
22.3761	1	1	0	8.51941
22.3762	1	1	0	8.51175
22.3763	1	1	0	8.56322
22.3764	1	1	0	8.56143
22.3765	1	1	0	8.59704
22.3767	1	1	0	8.59376
22.3768	1	1	0	8.58559
22.3769	1	1	0	8.60878
22.377	1	1	0	8.61846
22.3772	1	1	0	8.62351
22.3776	1	1	0	8.65088
22.3777	1	1	0	8.64448
22.3778	1	1	0	8.65604
22.378	1	1	0	8.67831
22.3782	1	1	0	8.66025
22.3783	1	1	0	8.67693
22.3784	1	1	0	8.68565
22.3787	1	1	0	8.72203
22.3788	1	1	0	8.69522
22.3789	1	1	0	8.66557
22.3791	1	1	0	8.66352
22.3792	1	1	0	8.66101
22.3793	1	1	0	8.64042
22.3796	1	1	0	8.62671
22.3796	1	1	0	8.6447
22.3798	1	1	0	8.61748
22.3799	1	1	0	8.58957
22.3801	1	1	0	8.57341
22.3804	1	1	0	8.5064
22.3805	1	1	0	8.52905
22.3807	1	1	0	8.52981
22.3809	1	1	0	8.44233
22.381	1	1	0	8.44785
22.3812	1	1	0	8.39427
22.3813	1	1	0	8.39334
22.3816	1	1	0	8.36938
22.3817	1	1	0	8.36906
22.3818	1	1	0	8.38016
22.3819	1	1	0	8.33028
22.3821	1	1	0	8.3261
22.3822	1	1	0	8.29526
22.3824	1	1	0	8.31256
22.3825	1	1	0	8.31769
22.3827	1	1	0	8.30495
22.3828	1	1	0	8.3328
22.383	1	1	0	8.31154
22.3832	1	1	0	8.31149
