tstamp,gnb_x,gnb_y,gnb_vx,gnb_vy,camera_x,camera_y,camera_vx,camera_vy,ue_x,ue_y,ue_vx,ue_vy,obs_x,obs_y,obs_vx,obs_vy,Blockage,Ploss (dB),SNR (dB),Throughput (Mbit/s)
6.4,4.76,5,0.9,0,0.28,9.53,0,0,4.02,8.742,0,-0.1,3.784,6.987,-0.9,0.6,TRUE,36.6,12.8,0
6.6,4.96,5,1,0,0.28,9.53,0,0,4.016,8.73,0,-0.1,3.79,7.004,0,0.1,FALSE,11.7,34.3,0
6.8,5.09,5,0.6,0,0.28,9.53,0,0,4.194,8.692,0.9,-0.2,3.787,6.997,0,0,FALSE,11.6,38.8,0
7,5.21,5,0.6,0,0.28,9.53,0,0,4.196,8.698,0,0,3.79,7.004,0,0,FALSE,11.7,39,0
7.2,5.26,5,0.2,0,0.28,9.53,0,0,4.201,8.714,0,0.1,3.975,6.874,0.9,-0.6,FALSE,11.7,39,0
7.4,5.37,5,0.6,0,0.28,9.53,0,0,4.02,8.742,-0.9,0.1,3.981,6.888,0,0.1,FALSE,12,38.7,3.42
7.6,5.41,5,0.2,0,0.28,9.53,0,0,4.196,8.698,0.9,-0.2,3.796,7.02,-0.9,0.7,FALSE,11.8,39,9.04
7.8,5.52,5,0.5,0,0.28,9.53,0,0,4.198,8.705,0,0,3.977,6.878,0.9,-0.7,FALSE,11.9,39,8.63
8,5.62,5,0.5,0,0.28,9.53,0,0,4.018,8.736,-0.9,0.2,3.793,7.014,-0.9,0.7,FALSE,12.2,38.5,9.27
8.2,5.72,5,0.5,0,0.28,9.53,0,0,3.855,8.771,-0.8,0.2,3.982,6.892,0.9,-0.6,FALSE,12.5,35.7,2.09
8.4,5.81,5,0.4,0,0.28,9.53,0,0,4.198,8.705,1.7,-0.3,3.791,7.007,-1,0.6,FALSE,12.1,34.6,0
8.6,5.89,5,0.4,0,0.28,9.53,0,0,4.187,8.673,-0.1,-0.2,3.788,7,0,0,FALSE,12.1,34.7,0
8.8,5.89,5,0,0,0.28,9.53,0,0,4.01,8.715,-0.9,0.2,3.786,6.994,0,0,FALSE,12.4,33.4,0
9,5.82,5,-0.3,0,0.28,9.53,0,0,4.19,8.683,0.9,-0.2,3.982,6.891,1,-0.5,FALSE,12.1,34.2,2.14
9.2,5.82,5,0,0,0.28,9.53,0,0,4.01,8.715,-0.9,0.2,3.792,7.01,-0.9,0.6,FALSE,12.3,34.7,10.9
9.4,5.89,5,0.3,0,0.28,9.53,0,0,4.187,8.673,0.9,-0.2,3.984,6.898,1,-0.6,FALSE,12.1,34.7,12.7
9.6,5.95,5,0.3,0,0.28,9.53,0,0,4.191,8.686,0,0.1,3.794,7.017,-1,0.6,FALSE,12.2,35.7,13.8
9.8,6.01,5,0.3,0,0.28,9.53,0,0,4.011,8.718,-0.9,0.2,3.981,6.888,0.9,-0.6,FALSE,12.5,34.3,48.2
10,6.06,5,0.2,0,0.28,9.53,0,0,4.005,8.7,0,-0.1,3.791,7.007,-0.9,0.6,FALSE,12.5,33.8,15.6
10.2,6.17,5,0.6,0,0.28,9.53,0,0,4.175,8.642,0.9,-0.3,3.981,6.888,0.9,-0.6,FALSE,12.4,33.3,16.4
10.4,6.17,5,0,0,0.28,9.53,0,0,4.009,8.712,-0.8,0.4,3.791,7.007,-0.9,0.6,FALSE,12.7,33.9,16.6
10.6,6.24,5,0.4,0,0.28,9.53,0,0,4.204,8.72,1,0,3.977,6.878,0.9,-0.6,FALSE,12.5,35.4,16.1
10.8,6.38,5,0.7,0,0.28,9.53,0,0,4.43,8.762,1.1,0.2,3.798,7.027,-0.9,0.7,FALSE,12.5,35.1,15.2
11,6.38,5,0,0,0.28,9.53,0,0,4.444,8.801,0.1,0.2,3.978,6.881,0.9,-0.7,FALSE,12.6,36.3,19.1
11.2,6.45,5,0.4,0,0.28,9.53,0,0,4.668,8.777,1.1,-0.1,3.978,6.881,0,0,FALSE,12.4,34.7,19.9
11.4,6.45,5,0,0,0.28,9.53,0,0,4.662,8.759,0,-0.1,3.796,7.02,-0.9,0.7,FALSE,12.4,35.8,22.1
11.6,6.52,5,0.3,0,0.28,9.53,0,0,4.657,8.746,0,-0.1,3.982,6.891,0.9,-0.6,FALSE,12.4,36.2,24.2
11.8,6.52,5,0,0,0.28,9.53,0,0,4.887,8.666,1.1,-0.4,3.977,6.878,0,-0.1,FALSE,12.1,36.3,25.5
12,6.59,5,0.4,0,0.28,9.53,0,0,5.161,8.622,1.4,-0.2,3.796,7.02,-0.9,0.7,FALSE,11.8,37,27.5
12.2,6.59,5,0,0,0.28,9.53,0,0,5.164,8.63,0,0,3.788,7,0,-0.1,FALSE,11.8,37.2,29.9
