Time,Cwnd
23.0306,502456
23.0306,503904
23.0317,505352
23.0317,506800
23.0329,508248
23.0329,509696
23.034,511144
23.034,512592
23.0351,514040
23.0351,515488
23.0362,516936
23.0362,518384
23.0374,519832
23.0382,518973
23.0382,519561
23.0383,520149
23.0391,520737
23.0391,518384
23.0391,516936
23.04,515488
23.04,514781
23.04,512592
23.0409,511144
23.0409,509696
23.0409,508825
23.0417,506800
23.0417,505352
23.0418,503904
23.0426,502869
23.0426,501008
23.0426,499560
23.0435,498112
23.0435,496913
23.0435,495216
23.0442,493768
23.0442,492320
23.0443,490957
23.0451,489424
23.0451,487976
23.0451,486528
23.046,485080
23.046,483632
23.046,482184
23.0469,480736
23.0469,479288
23.0469,477840
23.0477,476392
23.0477,474944
23.0478,473496
23.0486,472048
23.0486,470600
23.0486,469152
23.0495,467704
23.0495,466256
23.0495,464808
23.0502,463360
23.0502,461912
23.0503,460464
23.0511,459016
23.0511,457568
23.0511,456120
23.052,454672
23.052,453224
23.052,451776
23.0529,450328
23.0529,449853
23.0529,447432
23.0537,445984
23.0537,444536
23.0538,443897
23.0546,441640
23.0546,440192
23.0546,438744
23.0556,437941
23.0556,435848
23.0556,434400
23.0564,432952
23.0564,431985
23.0564,430056
23.0571,428608
23.0571,427160
23.0571,426029
23.058,424264
23.058,422816
23.058,421368
23.0589,420073
23.0589,418472
23.0589,417024
23.0597,415576
23.0597,414128
23.0598,412680
23.0606,411232
23.0606,409784
23.0606,408336
23.0615,406888
23.0615,405440
23.0615,403992
23.0624,402544
23.0624,401096
23.0624,399648
23.0631,398200
23.0631,396752
23.0631,395304
23.064,393856
23.064,392408
23.064,390960
23.065,389512
23.065,388064
23.065,386616
23.0657,385168
23.0657,383720
23.0658,382272
23.0666,380824
23.0666,379376
23.0666,378969
23.0675,376480
23.0675,375032
23.0675,373584
23.0684,373013
23.0684,370688
23.0684,369240
23.0692,367792
23.0692,367057
23.0693,364896
23.07,363448
23.2093,364896
23.21,365479
23.21,364614
23.21,365196
23.2107,365779
23.2107,366362
23.2108,364896
23.2116,363448
23.2116,362000
23.2116,360552
23.2125,359104
23.2125,358040
23.2125,356208
23.2134,354760
23.2134,353312
23.2134,351864
23.2142,350416
23.2142,349719
23.2143,347520
23.2151,346072
23.2151,344624
23.2151,343176
23.216,341728
23.216,341398
23.216,338832
23.2169,337384
23.2169,335936
23.2169,334488
23.2176,333040
23.2176,333077
23.2176,331592
23.2185,330144
23.2185,328696
23.2185,327248
23.2194,325800
23.2194,324352
23.2194,322904
23.2202,321456
23.2202,320008
23.2203,318560
23.2211,317112
23.2211,315664
23.2211,314216
23.222,312768
23.222,311320
23.222,309872
23.2229,308424
23.2229,306976
23.2229,305528
23.2236,304080
23.2236,302632
23.2236,301184
23.2245,299736
23.2245,298288
23.2245,296840
23.2254,295392
23.2254,293944
23.2254,292496
23.2262,291048
23.2262,289600
23.2263,288152
23.2271,286704
23.2271,285256
23.2271,283808
23.228,282566
23.228,280912
23.228,279464
23.2289,278016
23.2289,276568
23.2289,275120
23.2297,273672
23.2297,272224
23.2298,270776
23.2305,269328
23.2305,267880
23.2305,266432
23.2314,264984
23.2314,263536
23.2314,262088
23.2322,260640
23.2322,259192
23.2323,257744
23.2331,256296
23.2331,254848
23.295,256296
23.295,256872
23.295,256000
23.295,256576
23.2957,257152
23.2957,257728
23.2958,258304
23.2966,258880
23.2966,259456
23.2966,257744
23.2975,256296
23.2975,254848
23.2975,253400
23.2984,251952
23.2984,250504
23.2984,249056
23.2992,247608
23.2992,246160
23.2993,244712
23.3001,243264
23.3001,241816
23.3001,240368
23.3009,238920
23.3009,237472
23.3009,236024
23.3017,234576
23.3017,233128
23.3018,231680
23.3026,230232
23.3026,228784
23.3026,227336
23.3035,225888
23.3035,224440
23.3035,223294
23.3044,221544
23.3044,220096
23.3044,218648
23.3052,217200
23.3052,215752
23.3053,214304
23.3061,212856
23.3061,211408
23.3061,209960
23.3069,208512
23.3069,207064
23.3069,205616
23.3077,204168
23.3077,202720
23.3078,201272
23.3086,199824
23.3086,198376
23.3086,196928
23.3095,195480
23.3095,194032
23.3095,192584
23.3104,191136
23.3104,189688
23.3104,188240
23.3112,187133
23.3112,185344
23.3113,183896
23.3121,182448
23.3121,181000
23.3121,179552
23.313,178104
23.3721,179552
23.4122,181000
23.4637,182448
23.5175,183896
23.5724,185344
23.5996,184494
23.6005,185092
23.6005,185689
23.6005,186287
23.6014,186884
23.6014,187482
23.6014,188080
23.6021,188677
23.6021,189275
23.6021,189872
23.603,190470
23.603,188240
23.603,186792
23.6039,185344
23.6039,183896
23.6039,182448
23.6047,181000
23.6047,179552
23.6048,178104
23.6056,176656
23.6056,175208
23.6056,173760
23.6065,174100
23.6065,172312
23.6065,170864
23.6074,169416
23.6074,167968
23.6074,166520
23.6082,165072
23.6082,163624
23.6083,162176
23.609,160728
23.609,159280
23.609,157832
23.6099,156384
23.6099,154936
23.6099,153488
23.6107,152040
23.6107,150592
23.6108,149144
23.6116,147696
23.6116,146248
23.6116,144800
23.6125,143352
23.6125,141904
23.6125,140763
23.6134,139008
23.6134,137560
23.6134,136112
23.6142,134664
23.6142,133216
23.6143,131768
23.615,130320
23.615,128872
23.6365,130320
23.6902,131768
23.7452,133216
23.7945,134664
23.8436,136112
23.894,137560
23.9456,139008
23.997,140456
24.0485,141904
24.1011,143352
24.1537,144800
24.2076,146248
24.2614,147696
24.3162,149144
24.3712,150592
24.4272,152040
24.4834,153488
24.5394,154936
24.5966,156384
24.655,157832
24.7134,159280
24.7717,160728
24.8312,162176
24.8919,163624
24.9514,165072
25.0132,166520
25.0739,167968
25.1365,169416
25.1995,170864
