% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.03538	1	0	0	1	303	5	5	1	4	14	1	0	26	1845
3.03563	1	0	0	1	303	5	7	1	4	13	1	0	26	1845
3.03587	1	0	0	1	303	6	1	1	4	15	1	0	26	1845
3.03625	1	0	0	1	303	6	4	1	4	14	1	0	28	1997
3.0365	1	0	0	1	303	6	6	1	4	15	1	0	28	1997
3.03675	1	0	0	1	303	7	0	1	4	13	1	0	28	1997
3.03713	1	0	0	1	303	7	3	1	4	15	1	0	28	1997
3.03737	1	0	0	1	303	7	5	1	4	14	1	0	28	1997
3.03762	1	0	0	1	303	7	7	1	4	13	1	0	28	1997
3.038	1	0	0	1	303	8	2	1	4	15	1	0	28	1997
3.03825	1	0	0	1	303	8	4	1	4	14	1	0	28	1997
3.0385	1	0	0	1	303	8	6	1	4	13	1	0	28	1997
3.03875	1	0	0	1	303	9	0	1	4	15	1	0	28	1997
3.03912	1	0	0	1	303	9	3	1	4	14	1	0	28	1997
3.03938	1	0	0	1	303	9	5	1	4	15	1	0	28	1997
3.03963	1	0	0	1	303	9	7	1	4	13	1	0	28	1997
3.04	1	0	0	1	304	0	2	1	4	15	1	0	28	1997
3.04025	1	0	0	1	304	0	4	1	4	14	1	0	28	1997
3.0405	1	0	0	1	304	0	6	1	4	13	1	0	28	1997
3.04075	1	0	0	1	304	1	0	1	4	15	1	0	28	1997
3.04113	1	0	0	1	304	1	3	1	4	14	1	0	28	1997
3.04137	1	0	0	1	304	1	5	1	4	15	1	0	28	1997
3.04162	1	0	0	1	304	1	7	1	4	13	1	0	28	1997
3.042	1	0	0	1	304	2	2	1	4	15	1	0	28	1997
3.04225	1	0	0	1	304	2	4	1	4	14	1	0	28	1997
3.0425	1	0	0	1	304	2	6	1	4	13	1	0	28	1997
3.04275	1	0	0	1	304	3	0	1	4	15	1	0	28	1997
3.04312	1	0	0	1	304	3	3	1	4	14	1	0	28	1997
3.04338	1	0	0	1	304	3	5	1	4	15	1	0	28	1997
3.04363	1	0	0	1	304	3	7	1	4	13	1	0	28	1997
3.04413	1	0	0	1	304	4	3	1	4	14	1	0	28	1997
3.04425	1	0	0	1	304	4	4	1	4	13	1	0	28	1997
3.0445	1	0	0	1	304	4	6	1	4	12	1	0	28	1997
3.04475	1	0	0	1	304	5	0	1	4	15	1	0	28	1997
3.04513	1	0	0	1	304	5	3	1	4	14	1	0	28	1997
3.04537	1	0	0	1	304	5	5	1	4	15	1	0	28	1997
3.04562	1	0	0	1	304	5	7	1	4	13	1	0	28	1997
3.046	1	0	0	1	304	6	2	1	4	15	1	0	28	1997
3.04625	1	0	0	1	304	6	4	1	4	14	1	0	28	1997
3.0465	1	0	0	1	304	6	6	1	4	13	1	0	28	1997
3.04675	1	0	0	1	304	7	0	1	4	15	1	0	28	1997
3.04712	1	0	0	1	304	7	3	1	4	14	1	0	28	1997
3.04738	1	0	0	1	304	7	5	1	4	15	1	0	28	1997
3.04763	1	0	0	1	304	7	7	1	4	13	1	0	28	1997
3.048	1	0	0	1	304	8	2	1	4	15	1	0	28	1997
3.04838	1	0	0	1	304	8	5	1	4	14	1	0	28	1997
3.0485	1	0	0	1	304	8	6	1	4	12	1	0	28	1997
3.04875	1	0	0	1	304	9	0	1	4	15	1	0	28	1997
3.04913	1	0	0	1	304	9	3	1	4	14	1	0	28	1997
3.04937	1	0	0	1	304	9	5	1	4	15	1	0	28	1997
3.04962	1	0	0	1	304	9	7	1	4	13	1	0	28	1997
3.05	1	0	0	1	305	0	2	1	4	15	1	0	28	1997
3.05025	1	0	0	1	305	0	4	1	4	14	1	0	28	1997
3.0505	1	0	0	1	305	0	6	1	4	13	1	0	28	1997
3.05088	1	0	0	1	305	1	1	1	4	15	1	0	28	1997
3.05112	1	0	0	1	305	1	3	1	4	14	1	0	28	1997
